SectionID,Term,Title,Faculty,Day,Start,OtherEventsDay,OtherEventsStart,LongCourseTitle
755368,Spring,"2032: 5TechReshapeWorld Q3Q4,3",Shikhar Ghosh,X,3:10 PM,,,2032: Five Technologies that Will Reshape the World in the Next Decade
755011,Spring,"Adv Neg: Grt DealMkers Q3Q4, 3",James Sebenius,X,1:30 PM,,,"Advanced Negotiation: Great Dealmakers, Diplomats, and Deals"
756664,Fall,"Arts of Communication Q2, 1.5",Candace Bertotti,Y,3:10 PM,,,The Arts of Communication
756670,Spring,"Arts of Communication Q4, 1.5",Candace Bertotti,Y,3:10 PM,,,The Arts of Communication
755002,Fall,"Authntic Leader Develp Q1Q2, 3",Thomas DeLong,T,8:30 AM,T,5:30 PM,Authentic Leader Development
755005,Fall,"Authntic Leader Develp Q1Q2, 3",Monique Burns Thompson,T,10:10 AM,T,5:30 PM,Authentic Leader Development
755173,Spring,"Authntic Leader Develp Q3Q4, 3",Robin Ely,H,10:10 AM,H,5:30 PM,Authentic Leader Development
756673,Spring,"Authntic Leader Develp Q3Q4, 3",Hubert Joly,T,8:30 AM,T,5:30 PM,Authentic Leader Development
754909,Spring,"Avoidg Startup Failure Q3Q4, 3",Lindsay Hyde,X,1:30 PM,,,Avoiding Startup Failure
754915,Spring,"Becoming Gen Manager Q3Q4, 3",Joseph Fuller,X,10:10 AM,,,Becoming a General Manager
754918,Spring,"Becoming Gen Manager Q3Q4, 3",Amy Edmondson,X,11:50 AM,,,Becoming a General Manager
754969,Spring,"Behavioral Econ Manag Q3Q4, 3",Joshua Schwartzstein,X,10:10 AM,,,Behavioral Economics for Managerial Decision Making
754789,Fall,"Bldg & Sust a Succ Ent Q1Q2, 3",Rory McDonald,X,8:30 AM,,,Building and Sustaining a Successful Enterprise
754795,Fall,"Bldg & Sust a Succ Ent Q1Q2, 3",Rory McDonald,X,10:10 AM,,,Building and Sustaining a Successful Enterprise
755254,Fall,"Bldg & Sust a Succ Ent Q1Q2, 3",Chester Huber,Y,8:30 AM,,,Building and Sustaining a Successful Enterprise
755257,Fall,"Bldg & Sust a Succ Ent Q1Q2, 3",Chester Huber,Y,11:50 AM,,,Building and Sustaining a Successful Enterprise
754786,Spring,"Bldg & Sust a Succ Ent Q3Q4, 3",Derek van Bever,X,8:30 AM,,,Building and Sustaining a Successful Enterprise
754792,Spring,"Bldg & Sust a Succ Ent Q3Q4, 3",Prithwiraj Choudhury,Y,8:30 AM,,,Building and Sustaining a Successful Enterprise
754798,Spring,"Bldg & Sust a Succ Ent Q3Q4, 3",Allison Mnookin,Y,11:50 AM,,,Building and Sustaining a Successful Enterprise
754912,Spring,"Borderline Q3Q4, 3",Eugene Soltes,T,3:10 PM,,,Borderline
755287,Fall,"Bus Analysis & Valuatn Q1Q2, 3",Jonas Heese,Y,11:50 AM,,,Business Analysis and Valuation Using Financial Statements
755290,Fall,"Bus Analysis & Valuatn Q1Q2, 3",Jonas Heese,Y,1:30 PM,,,Business Analysis and Valuation Using Financial Statements
754903,Spring,"Bus Analysis & Valuatn Q3Q4, 3",Charles Wang,X,10:10 AM,,,Business Analysis and Valuation using Financial Statements and Big Data
754804,Spring,"Bus Ent Media Sports, Q3Q4, 3",Anita Elberse,X,10:10 AM,,,"The Business of Entertainment, Media, and Sports"
754810,Spring,"Bus Ent Media Sports, Q3Q4, 3",Anita Elberse,X,11:50 AM,,,"The Business of Entertainment, Media, and Sports"
755305,Fall,"Bus at Base of Pyramid Q1Q2, 3",Michael Chu,Y,8:30 AM,,,Business at the Base of the Pyramid
754801,Fall,"Business & Geopolitics Q1, 1.5",Jeremy Friedman,X,11:50 AM,,,Business and Geopolitics
755182,Spring,"Business Mkgt & Sales Q4, 1.5",Navid Mojir,Y,8:30 AM,,,Business Marketing and Sales
754747,Fall,"Capitalism & the State Q1Q2, 3",Debora Spar,T,3:10 PM,,,Capitalism and the State
754984,Spring,"Chall & Opp Restaurant Q3Q4, 3",Michael Kaufman,Y,8:30 AM,,,Challenges and Opportunities in the Restaurant Industry
755185,Spring,"Changing the World Q4, 1.5",Robert Simons,Y,8:30 AM,,,Changing the World: Life Choices of Influential Leaders
755188,Spring,"Changing the World Q4, 1.5",Robert Simons,Y,10:10 AM,,,Changing the World: Life Choices of Influential Leaders
755323,Fall,"Competing Globally Q1Q2, 3",Jorge Tamayo,Y,8:30 AM,,,Competing Globally
755332,Fall,"Consumer Marketing Q2, 1.5",John Gourville,Y,11:50 AM,,,Consumer Marketing
754777,Fall,"Corp Finance: CFO Q1Q2, 3","C. Fritz Foley, Mark Egan",X,10:10 AM,,,Corporate Finance: Corporate Financial Operations
754780,Fall,"Corp Finance: CFO Q1Q2, 3","C. Fritz Foley, Mark Egan",X,11:50 AM,,,Corporate Finance: Corporate Financial Operations
755143,Spring,"Corporate Governance Q3Q4, 3",Lynn Paine,Y,10:10 AM,,,Corporate Governance and Boards of Directors
754717,Fall,"Corporate Strategy Q1Q2, 3",David Collis,X,8:30 AM,,,Corporate Strategy: Creating Value Across Markets
754720,Fall,"Corporate Strategy Q1Q2, 3",David Collis,X,10:10 AM,,,Corporate Strategy: Creating Value Across Markets
754771,Fall,"Crafting Your Life Q1Q2, 3",Leslie Perlow,T,11:50 AM,W,6:00 PM,Crafting Your Life: the Tactics and Practices of the First 10 Years Post MBA
